ID и╚тС    ╦Ы╣ы    гциЫ    нфюМ    фЙ╡©    ╢╔╦п    ╨ц╧о
 2 гЮбл    РИкУ    вгоЛ    гЕнЗ    ╟╪ощ    с╡╩╛    йг
 3 нз╨з    РИкУ    Ёацф    гЕнЗ    ╟╪ощ    с╡╩╛    йг
 4 нз╨з    РИкУ    вгоЛ    гЕнЗ    ╟╪ощ    с╡╩╛    йг
 5 гЮбл    РИкУ    Ёацф    гЕнЗ    ╟╪ощ    с╡╩╛    йг
 6 гЁ╟в    РИкУ    вгоЛ    гЕнЗ    ╟╪ощ    с╡╩╛    йг
 7 гЮбл    итРИ    вгоЛ    гЕнЗ    ит╟╪    хМуЁ    йг
 8 нз╨з    итРИ    вгоЛ    ит╨Щ    ит╟╪    хМуЁ    йг
 9 нз╨з    итРИ    вгоЛ    гЕнЗ    ит╟╪    с╡╩╛    йг
10 нз╨з    итРИ    Ёацф    ит╨Щ    ит╟╪    с╡╩╛    ╥Я
11 гЮбл    с╡м╕    гЕ╢Ю    гЕнЗ    ф╫л╧    хМуЁ    ╥Я
12 гЁ╟в    с╡м╕    гЕ╢Ю    дё╨Щ    ф╫л╧    с╡╩╛    ╥Я
13 гЁ╟в    РИкУ    вгоЛ    дё╨Щ    ф╫л╧    хМуЁ    ╥Я
14 гЮбл    итРИ    вгоЛ    ит╨Щ    ╟╪ощ    с╡╩╛    ╥Я
15 гЁ╟в    итРИ    Ёацф    ит╨Щ    ╟╪ощ    с╡╩╛    ╥Я
16 нз╨з    итРИ    вгоЛ    гЕнЗ    ит╟╪    хМуЁ    ╥Я
17 гЁ╟в    РИкУ    вгоЛ    дё╨Щ    ф╫л╧    с╡╩╛    ╥Я
18 гЮбл    РИкУ    Ёацф    ит╨Щ    ит╟╪    с╡╩╛    ╥Я
